20100826	dbl+b, Volga, Ahmedabad, India
20100827	dbl+b, Volga, Ahmedabad, India
20100828	dbl+b, Volga, Ahmedabad, India
20100829	dbl+b, Volga, Ahmedabad, India
20100830	dbl+b, Volga, Ahmedabad, India
20100831	plane, 6h, Mumbai -> Hong Kong
20100901	dbl+b, TST Kowloon Guesthouse, Kowloon, Hong Kong
20100902	dbl+b, TST Kowloon Guesthouse, Kowloon, Hong Kong
20100903	dbl+b, TST Kowloon Guesthouse, Kowloon, Hong Kong
20100904	dbl+b, TST Kowloon Guesthouse, Kowloon, Hong Kong
20100905	dbl+b, TST Kowloon Guesthouse, Kowloon, Hong Kong
20100906	dbl+b, TST Kowloon Guesthouse, Kowloon, Hong Kong
20100907	dbl+b, TST Kowloon Guesthouse, Kowloon, Hong Kong
20100908	dbl+b, TST Kowloon Guesthouse, Kowloon, Hong Kong
20100909	dbl-b, San Va Hospedaria, Macau
20100910	dbl-b, San Va Hospedaria, Macau
20100911	dbl-b, San Va Hospedaria, Macau
20100912	dbl+b, Beijing Fei Ying Business Hotel, Beijing, China
20100913	dbl-b, Flowering House Hostel, Beijing, China
20100914	dbl-b, Flowering House Hostel, Beijing, China
20100915	dbl-b, Flowering House Hostel, Beijing, China
20100916	dbl-b, Flowering House Hostel, Beijing, China
20100917	dbl-b, Flowering House Hostel, Beijing, China
20100918	dbl-b, Flowering House Hostel, Beijing, China
20100919	train, 11h, Beijing West -> Xi'an, China
20100920	dbl+b, Ludao Hotel, Xi'an, China
20100921	dbl+b, Ludao Hotel, Xi'an, China
20100922	dbl+b, Ludao Hotel, Xi'an, China
20100923	train, 13h, Xi'an -> Beijing West, China
20100924	dbl-b, Flowering House Hostel, Beijing, China
20100925	dbl-b, Flowering House Hostel, Beijing, China
